Date,Australian Dollar,Euro,U.K. Pound Sterling,Japanese Yen,Thai Baht,U.S. Dollar
2019-01-02,1.44553,0.8836,0.79872,107.44877,32.28109,1.0
2020-01-02,1.43184,0.89521,0.76041,108.54706,30.15052,1.0
2021-01-02,1.29988,0.82408,0.73138,103.24245,29.98882,1.0
2022-01-02,1.37512,0.87929,0.73949,115.12536,33.23049,1.0
2023-01-02,1.469446,0.936562,0.829041,130.799748,34.500047,1.0
2024-01-02,1.4779102441,0.9135501695,0.7921001133,142.114286267,34.2591146903,1.0
2025-01-02,1.6122502449,0.9737701722,0.8077100895,157.3513792951,34.3833554811,1.0
